origin,mae,rmse,n,cov50,cov80,cov95,crps
2021-11-06,461.56700073195066,556.2900511687201,48,0.6875,0.8541666666666666,1.0,327.6670977555768
2021-11-07,230.45811206428274,297.43389567373237,48,0.8541666666666666,0.9583333333333334,1.0,233.93386889135226
2021-11-08,598.0918615855335,681.8668397518412,48,0.5416666666666666,0.8541666666666666,0.8958333333333334,401.7653195351796
2021-11-09,272.57496339539813,331.3312941029492,48,0.7708333333333334,1.0,1.0,235.7274986783406
2021-11-10,452.9770153431291,602.0835844181258,48,0.6041666666666666,0.875,1.0,343.7923098432161
2021-11-11,764.6977090113188,874.1427356151777,48,0.2708333333333333,0.6458333333333334,1.0,499.26834750800646
2021-11-12,503.5898026974949,592.0778475895935,48,0.5,0.9166666666666666,1.0,339.9027250754143
2021-11-13,503.803982611338,650.8789362766205,48,0.4791666666666667,0.8125,0.9375,388.10877391490067
2021-11-14,819.5028515970492,993.932696715163,48,0.5,0.5833333333333334,0.7708333333333334,586.5492677483471
2021-11-15,515.0375088022055,626.683045151798,48,0.6041666666666666,0.8541666666666666,1.0,353.74387064312504
2021-11-16,738.9043539283826,838.6206746172967,48,0.3541666666666667,0.7916666666666666,1.0,464.2698723725301
2021-11-17,933.1268827642516,1033.993982094405,48,0.0,0.6458333333333334,1.0,587.577471928564
2021-11-18,383.3607059809362,462.4442311999209,48,0.7708333333333334,1.0,1.0,273.48608584760836
2021-11-19,547.7279380627447,783.2177301168355,48,0.5833333333333334,0.7291666666666666,0.9583333333333334,433.3050716509809
2021-11-20,661.2074107335055,860.2494795187381,48,0.5416666666666666,0.7916666666666666,0.8958333333333334,466.61823022156324
2021-11-21,656.2127590428086,769.9113607217596,48,0.3333333333333333,0.8125,1.0,434.4170803245338
2021-11-22,785.7934136737343,888.1166191710885,48,0.2916666666666667,0.8125,0.8958333333333334,509.7771856746824
2021-11-23,98.75968229492263,121.47638261396445,48,1.0,1.0,1.0,192.42055750309464
2021-11-24,588.9349368029043,678.2307816908334,48,0.4166666666666667,1.0,1.0,365.3743312389924
2021-11-25,844.0135543037098,959.3520909659599,48,0.25,0.625,1.0,544.3522038703028
2021-11-26,846.3546289987459,941.4931971196804,48,0.16666666666666666,0.7083333333333334,0.9166666666666666,546.8706241080741
2021-11-27,261.66815127290204,308.8062461643578,48,0.9166666666666666,1.0,1.0,229.5594251664617
2021-11-28,659.7705954505444,797.5761356655088,48,0.4791666666666667,0.7291666666666666,0.9166666666666666,464.0544147408591
2021-11-29,363.94821421813805,471.86215561126005,48,0.7083333333333334,0.9583333333333334,1.0,290.3723443283827
2021-11-30,203.33711901693218,230.1689059368081,48,0.9375,1.0,1.0,212.33131660580577
2021-12-01,308.5746804442835,349.2753601861386,48,0.9166666666666666,1.0,1.0,238.82703014161976
2021-12-02,208.98153171387904,268.02600758334205,48,1.0,1.0,1.0,214.27254165804015
2021-12-03,286.88761350256385,430.7668770410654,48,0.875,0.9791666666666666,1.0,256.4002738195156
2021-12-04,254.04656385109823,343.1231388068837,48,0.7708333333333334,1.0,1.0,237.58639254831405
2021-12-05,481.5855006860017,531.1894733361282,48,0.625,0.9375,1.0,317.6277333532166
2021-12-06,270.8902697664763,363.78206074793513,48,0.8125,0.8958333333333334,1.0,257.56459102560785
2021-12-07,256.6504518524796,354.5930081914373,48,0.8541666666666666,1.0,1.0,238.30440732208854
2021-12-08,288.5955209381545,384.77045349888834,48,0.7291666666666666,0.9791666666666666,1.0,253.68286494949487
2021-12-09,205.60748311544344,240.39759646485737,48,0.9375,1.0,1.0,212.87624821362343
2021-12-10,429.08493904967827,511.4552907570022,48,0.5,1.0,1.0,309.6238477075502
2021-12-11,561.4154898609977,663.563325828206,48,0.4583333333333333,0.8333333333333334,1.0,385.06314908107305
2021-12-12,1024.9080032948461,1172.9896371066002,48,0.1875,0.5208333333333334,0.7708333333333334,703.8717235173539
2021-12-13,549.8820537735023,639.5182956008841,48,0.6458333333333334,0.875,1.0,355.5866176393484
2021-12-14,338.1091123191459,368.6003614081058,48,0.7708333333333334,1.0,1.0,253.53865296327817
2021-12-15,448.4781427067821,649.442667938926,48,0.7083333333333334,0.8958333333333334,1.0,337.5436436007676
2021-12-16,805.637023454869,974.2064447038523,48,0.4375,0.6666666666666666,0.8125,555.5672561896118
2021-12-17,242.80765003694833,325.52926995032783,48,0.7708333333333334,1.0,1.0,239.07481250259562
2021-12-18,1382.9006983178722,1860.9036198412432,48,0.375,0.5416666666666666,0.625,1072.6480317963903
2021-12-19,1684.512519286461,2046.158563914058,48,0.20833333333333334,0.3125,0.5416666666666666,1316.7983178659445
2021-12-20,1352.7251011368369,1527.736773663542,48,0.020833333333333332,0.3541666666666667,0.6666666666666666,959.6658623407302
2021-12-21,1518.9360649887458,1804.3386198101798,48,0.16666666666666666,0.2916666666666667,0.4375,1130.9764859005254
2021-12-22,358.8364485599122,437.8680730466171,48,0.8125,1.0,1.0,262.4531573782758
2021-12-23,319.8007194605439,388.53748115962935,48,0.8541666666666666,1.0,1.0,252.10692197793318
2021-12-24,259.8361587896893,327.7464076940625,48,0.875,1.0,1.0,231.17080944191218
2021-12-25,1165.567918691155,1262.1977292848103,48,0.0625,0.3958333333333333,0.75,797.1817643680423
2021-12-26,882.9180996223143,1026.7212698917913,48,0.22916666666666666,0.6041666666666666,1.0,568.1140222868075
2021-12-27,1532.3735494076693,1832.3814353935386,48,0.1875,0.3541666666666667,0.5,1146.8269983617163
2021-12-28,2041.7252935062909,2340.844690103963,48,0.041666666666666664,0.14583333333333334,0.2916666666666667,1619.0194139388825
2021-12-29,1795.6343335510564,2031.4402082493266,48,0.041666666666666664,0.16666666666666666,0.3333333333333333,1371.602674349858
2021-12-30,1071.0010644099211,1192.376076387423,48,0.14583333333333334,0.4375,0.9166666666666666,709.0078335775846
2021-12-31,558.383070766729,614.7848110104513,48,0.3125,0.9791666666666666,1.0,359.8023309871742
2022-01-01,387.18814027186835,455.19923993880826,48,0.6666666666666666,0.875,1.0,297.44850209611036
2022-01-02,423.22726603743376,580.9317683108427,48,0.7083333333333334,1.0,1.0,307.13963047412864
2022-01-03,922.5111809444065,1046.9946956278466,48,0.16666666666666666,0.6458333333333334,1.0,589.1684954533438
2022-01-04,703.1515804276306,781.5057935124697,48,0.3125,0.7916666666666666,1.0,446.61128595890864
2022-01-05,948.4770315361862,1067.2336845458224,48,0.16666666666666666,0.6041666666666666,0.9375,628.7625906779311
2022-01-06,715.023054487713,776.5253801386507,48,0.3333333333333333,0.8541666666666666,1.0,453.0183935327107
2022-01-07,1104.0486363125194,1193.0021515875176,48,0.041666666666666664,0.4583333333333333,0.8958333333333334,733.3422017740195
2022-01-08,717.4747971948531,927.7968265846221,48,0.3958333333333333,0.7916666666666666,1.0,479.97677506259237
2022-01-09,360.4481900765213,501.8288664234598,48,0.6666666666666666,1.0,1.0,276.23133892506866
2022-01-10,623.0258259759908,732.1562788630924,48,0.4583333333333333,0.8541666666666666,1.0,408.96998088367536
2022-01-11,1278.3840343426455,1448.0486058081256,48,0.125,0.3541666666666667,0.75,901.2263445556886
2022-01-12,218.38851651609966,255.09989863382134,48,0.8541666666666666,1.0,1.0,219.10595577325861
2022-01-13,307.9226121533205,458.3753436250709,48,0.75,1.0,1.0,270.0181126802588
2022-01-14,252.4609450841718,329.6824492392514,48,0.8541666666666666,1.0,1.0,240.19098170383714
2022-01-15,511.1410886077506,674.6734677179593,48,0.5833333333333334,1.0,1.0,345.45447770017654
2022-01-16,335.03567760041363,395.12153290835806,48,0.8541666666666666,1.0,1.0,254.87141106823842
2022-01-17,778.2710399087558,994.3544407438791,48,0.5,0.7708333333333334,0.8958333333333334,534.820527033791
2022-01-18,764.5361560063529,980.82832367525,48,0.4375,0.6666666666666666,0.7916666666666666,572.1803792151878
2022-01-19,822.6103119127432,1041.9651851474086,48,0.3958333333333333,0.6875,1.0,551.0812921391231
2022-01-20,814.847425511199,988.3549166125487,48,0.375,0.6875,0.9791666666666666,539.7895597107366
2022-01-21,1245.4496816527435,1412.866163716913,48,0.20833333333333334,0.3541666666666667,0.8333333333333334,866.80158398069
2022-01-22,1132.5380215305079,1292.0572900172656,48,0.14583333333333334,0.4791666666666667,0.6666666666666666,794.4723969324181
2022-01-23,1476.6673657806016,1628.1733957048662,48,0.125,0.1875,0.5833333333333334,1072.1594891697753
2022-01-24,565.8383251565657,788.0750256756987,48,0.6666666666666666,0.9166666666666666,1.0,388.06026126606986
2022-01-25,308.19679510010866,368.33001287223675,48,0.8333333333333334,1.0,1.0,247.82774313666428
2022-01-26,259.1185432273516,296.71056010599614,48,0.9166666666666666,1.0,1.0,227.07188204813392
2022-01-27,223.20120114174514,286.49793028066523,48,0.7916666666666666,1.0,1.0,228.53945491816785
2022-01-28,1442.490044188017,1668.7227922271695,48,0.14583333333333334,0.2916666666666667,0.625,1048.1144069391892
2022-01-29,1155.5351651236135,1474.4664752459473,48,0.3541666666666667,0.4375,0.8333333333333334,837.0976217452444
2022-01-30,612.298815450696,791.7086629839774,48,0.5208333333333334,0.9166666666666666,1.0,399.2707823738113
2022-01-31,1118.5065369222448,1282.619501546162,48,0.1875,0.3958333333333333,0.8541666666666666,767.7574843928741
2022-02-01,737.0892121179099,1042.9135499027802,48,0.3333333333333333,0.6875,0.7083333333333334,582.1349328927458
2022-02-02,1108.5136534572043,1469.0761156737785,48,0.20833333333333334,0.4791666666666667,0.5416666666666666,920.2080865003973
2022-02-03,777.5939423145614,988.3013908080669,48,0.125,0.5,0.7083333333333334,590.9476128145188
2022-02-04,532.3028570559852,650.1112334338039,48,0.3333333333333333,0.5416666666666666,0.75,381.9802085664416
2022-02-05,429.4054215915151,548.0832830209047,48,0.4583333333333333,0.6875,0.875,308.2199487578851
2022-02-06,352.39679211379365,394.2332055793016,48,0.3541666666666667,0.8958333333333334,1.0,226.10003865127248
2022-02-07,237.48500142807538,326.8599128059242,48,0.75,0.8541666666666666,0.9375,188.1750293587003
2022-02-08,140.72018436920948,167.19145083860164,48,0.9583333333333334,1.0,1.0,125.86512720599087
2022-02-09,528.8282336078283,734.6656604464761,48,0.4583333333333333,0.6875,0.7708333333333334,400.54620439111324
2022-02-10,631.9208567401975,838.9258753901523,48,0.2708333333333333,0.5416666666666666,0.75,477.3108522966163
2022-02-11,536.2399987458315,659.8678897256757,48,0.22916666666666666,0.6041666666666666,0.8333333333333334,380.3415552041388
2022-02-12,288.53025384524517,359.14278824463537,48,0.5,0.8958333333333334,1.0,200.70860709828102
2022-02-13,411.05231614523126,501.884774379351,48,0.3333333333333333,0.75,0.8958333333333334,282.8562612541887
2022-02-14,279.2168411858654,356.10601260259386,48,0.6041666666666666,0.8125,1.0,201.43761542214065
2022-02-15,389.28501049569417,484.9801826540412,48,0.4583333333333333,0.75,1.0,265.96322959658227
2022-02-16,113.47401995752921,154.62137667082692,48,0.9791666666666666,1.0,1.0,121.70035594037483
2022-02-17,512.46237827223,785.5581008133752,48,0.4375,0.75,0.8125,404.8799821433845
2022-02-18,192.99033289663453,232.85056854191404,48,0.8125,1.0,1.0,146.3992347096141
2022-02-19,588.9696992569696,825.2334927369051,48,0.4375,0.6041666666666666,0.75,462.16873935751727
2022-02-20,452.89867816920855,537.7208759598518,48,0.2708333333333333,0.6875,0.9791666666666666,310.40074282189954
2022-02-21,475.41089011428204,556.3713460117207,48,0.3125,0.7083333333333334,0.8958333333333334,320.9487814169585
2022-02-22,572.2534830443418,732.9290217047882,48,0.3541666666666667,0.5833333333333334,0.75,428.96799246034334
2022-02-23,318.38207873759393,362.63709430254056,48,0.5,0.8541666666666666,1.0,213.11544431816333
2022-02-24,287.6087151489529,383.0173572148327,48,0.5416666666666666,0.8125,0.9791666666666666,213.0140835462358
2022-02-25,210.67273153719302,270.1466217294855,48,0.75,0.9791666666666666,1.0,159.61771108984428
2022-02-26,307.8248135528436,371.9766487938867,48,0.5208333333333334,0.8541666666666666,1.0,211.68799365262623
2022-02-27,367.31426627655105,466.91089345159304,48,0.4583333333333333,0.7291666666666666,0.9583333333333334,266.30800729782214
2022-02-28,282.5889536591653,374.34557858069394,48,0.6666666666666666,0.875,0.9375,211.05636485405958
2022-03-01,159.73064039653977,210.57103976423068,48,0.875,1.0,1.0,209.43475113039918
2022-03-02,237.67612484967754,310.9627153834442,48,1.0,1.0,1.0,218.54291682919202
2022-03-03,167.44774784084262,202.5646086669346,48,1.0,1.0,1.0,199.5903992055205
2022-03-04,231.80916095475823,294.2192466852921,48,0.875,1.0,1.0,227.88991565822275
2022-03-05,352.32973090412383,485.2928056183361,48,0.75,0.8125,0.9583333333333334,312.4378873439303
2022-03-06,321.25718788206433,374.712142372052,48,0.7291666666666666,1.0,1.0,254.39706130827378
2022-03-07,356.5795893769385,391.8260643883834,48,0.7291666666666666,0.9583333333333334,1.0,268.4298303936852
2022-03-08,605.0855859861442,689.8573318206311,48,0.4583333333333333,0.75,1.0,404.49050548271765
2022-03-09,364.7991975852594,455.56691598140975,48,0.7291666666666666,1.0,1.0,273.84287708181364
2022-03-10,947.8004384872979,1140.9424925553817,48,0.3541666666666667,0.6458333333333334,0.7916666666666666,657.917350447147
2022-03-11,1206.7468055855936,1333.7411171807844,48,0.0625,0.3125,0.8541666666666666,826.6658887394098
2022-03-12,1118.2310403038452,1213.804714852487,48,0.08333333333333333,0.4375,0.875,757.4590126658244
2022-03-13,1021.4654442788155,1123.5367102154032,48,0.14583333333333334,0.4791666666666667,0.9166666666666666,666.9906764452061
2022-03-14,428.614906494409,572.2818488321744,48,0.6458333333333334,1.0,1.0,303.8490988033612
2022-03-15,274.59476465423336,317.4589244997192,48,0.9791666666666666,1.0,1.0,226.9483801551787
2022-03-16,156.84560826792085,192.87307816873178,48,0.9583333333333334,1.0,1.0,200.60824875158735
2022-03-17,521.6017608229704,631.3490709677251,48,0.625,1.0,1.0,335.61408795317465
2022-03-18,470.18725474331114,557.8596131048566,48,0.7083333333333334,1.0,1.0,305.818143577812
2022-03-19,333.124721183582,391.84203371011665,48,0.8333333333333334,1.0,1.0,250.20676884186796
2022-03-20,815.6511035733183,1028.6908189331295,48,0.5208333333333334,0.6458333333333334,0.7708333333333334,589.9868747579709
2022-03-21,218.73149649257175,247.93228343116195,48,0.9166666666666666,1.0,1.0,214.25297608766087
2022-03-22,451.6967970164371,610.8153609504093,48,0.7083333333333334,0.9375,1.0,319.970451186802
2022-03-23,435.74966324117946,584.4003320496831,48,0.6458333333333334,0.8333333333333334,1.0,333.66244694393856
2022-03-24,461.9299338059027,608.9420100283182,48,0.6875,0.8125,1.0,347.2994729164093
2022-03-25,215.3652088647733,255.35638966261712,48,0.8333333333333334,1.0,1.0,222.35456272689808
2022-03-26,241.36336420876094,311.08914270110785,48,0.8541666666666666,1.0,1.0,233.90368526450186
2022-03-27,204.11827612083138,270.98386038681656,48,0.8541666666666666,1.0,1.0,223.2335325535405
2022-03-28,593.1258081609909,693.0655712847763,48,0.5,0.875,0.9375,400.1006247374074
2022-03-29,407.6010116583437,493.4356011423503,48,0.7291666666666666,0.9166666666666666,1.0,298.35094112535336
2022-03-30,105.89549252162571,125.22633983519563,48,1.0,1.0,1.0,191.33214913210713
2022-03-31,248.60798553646077,300.57802122901927,48,0.875,1.0,1.0,225.64239244347323
2022-04-01,229.6108811849091,298.2011279565723,48,0.9166666666666666,1.0,1.0,224.32110875615444
2022-04-02,630.5242743561466,768.6812688456907,48,0.4583333333333333,0.6458333333333334,1.0,449.68197239864503
2022-04-03,1076.8855331751188,1220.4378753888502,48,0.16666666666666666,0.5625,0.6666666666666666,753.5628858679923
2022-04-04,534.3842730364918,592.970285563947,48,0.5833333333333334,1.0,1.0,338.9248677715595
2022-04-05,543.6762154619678,584.4468031565182,48,0.4583333333333333,0.8958333333333334,1.0,354.18333558090876
2022-04-06,413.58042131178917,460.22445761835064,48,0.6458333333333334,0.9791666666666666,1.0,285.1411966231479
2022-04-07,694.6590306272986,855.7315824504632,48,0.5416666666666666,0.7083333333333334,0.9375,480.8249622848184
2022-04-08,439.246100938009,492.44748150514147,48,0.8125,1.0,1.0,287.2142401599881
2022-04-09,313.23049325800986,387.46871329481354,48,0.7708333333333334,0.9583333333333334,1.0,261.1078143710735
2022-04-10,462.40254353370284,649.0792389368833,48,0.6041666666666666,0.7708333333333334,1.0,372.79295727961454
2022-04-11,215.74332959550068,265.17218538332645,48,0.9166666666666666,1.0,1.0,218.51248870213882
2022-04-12,355.5200931875438,431.47203323813534,48,0.8541666666666666,1.0,1.0,261.5609129150091
2022-04-13,444.45237047208667,484.0377371919986,48,0.6666666666666666,1.0,1.0,289.4562457616327
2022-04-14,369.1583466720517,448.5111957036309,48,0.8125,1.0,1.0,265.4416015614636
2022-04-15,1231.6418414265195,1377.5596579007945,48,0.0625,0.3958333333333333,0.6666666666666666,868.336677975005
2022-04-16,1042.9318917733265,1143.3319238474865,48,0.14583333333333334,0.4375,0.9791666666666666,688.3674701689379
2022-04-17,681.7306794290735,769.1645384796693,48,0.20833333333333334,0.9166666666666666,1.0,419.5801399853705
2022-04-18,802.4428616509267,890.3244441506982,48,0.14583333333333334,0.8333333333333334,1.0,495.5917574043954
2022-04-19,349.21540487642864,420.25468399273166,48,0.7291666666666666,1.0,1.0,262.9747753164053
2022-04-20,361.7499616885719,413.6526505758258,48,0.8333333333333334,1.0,1.0,264.35054395542755
2022-04-21,172.4871141593502,201.78427428098198,48,1.0,1.0,1.0,202.12733320368952
2022-04-22,718.4865307618978,863.6415160190885,48,0.4791666666666667,0.75,0.9583333333333334,479.70184810207337
2022-04-23,212.77097016068998,278.6822472006924,48,1.0,1.0,1.0,212.0083143335837
2022-04-24,246.2960874437165,301.8839325473731,48,0.8333333333333334,1.0,1.0,227.44552059084603
2022-04-25,100.87602062910594,122.6106464931441,48,1.0,1.0,1.0,189.7028432009165
2022-04-26,614.7386804438811,769.652203205055,48,0.5208333333333334,0.7291666666666666,1.0,438.90832181005516
2022-04-27,1304.8854484531937,1490.03057301781,48,0.125,0.375,0.6875,932.028432704919
2022-04-28,778.2061953541315,864.5581946442961,48,0.22916666666666666,0.7916666666666666,1.0,489.2970499231798
2022-04-29,278.776900427091,329.60036562971055,48,0.8958333333333334,1.0,1.0,231.5377798060316
2022-04-30,307.3262360499744,393.9022436914907,48,0.8125,0.9375,1.0,259.5040060213485
2022-05-01,483.1724231571546,700.0932781156345,48,0.5416666666666666,0.7291666666666666,0.7708333333333334,378.97378893510626
2022-05-02,251.57514538119912,300.73316659289407,48,0.75,0.9375,1.0,177.44740023957195
2022-05-03,148.1094338452143,207.16155557578466,48,0.7916666666666666,1.0,1.0,138.8434099391611
